experiment,variant,job_key,L,stress,chi,phi_mean,phi_var,cv,topology,topo_params,n_runs,engine_config,elapsed_sec
micro_rule,act_gaussian_cdf,"{""L"": 1000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.88, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",1000,0.88,0.02256000000000004,0.9802,2.2560000000000038e-05,0.004845681325051185,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.2393
micro_rule,act_gaussian_cdf,"{""L"": 1000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.89, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",1000,0.89,0.020800000000000037,0.982,2.0800000000000038e-05,0.00464429908390688,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.1619
micro_rule,act_gaussian_cdf,"{""L"": 1000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",1000,0.9,0.02184000000000004,0.9826,2.1840000000000038e-05,0.004756084447607545,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.0491
micro_rule,act_gaussian_cdf,"{""L"": 1000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.91, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",1000,0.91,0.025840000000000043,0.9836,2.5840000000000044e-05,0.00516806223145134,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.7167
micro_rule,act_gaussian_cdf,"{""L"": 1000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.92, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",1000,0.92,0.01176000000000002,0.9842000000000001,1.1760000000000021e-05,0.003484338183190868,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.6845
micro_rule,act_gaussian_cdf,"{""L"": 2000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.88, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",2000,0.88,0.04168000000000001,0.9804,2.0840000000000004e-05,0.0046563493310947885,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.6575
micro_rule,act_gaussian_cdf,"{""L"": 2000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.89, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",2000,0.89,0.02819999999999987,0.9815000000000002,1.4099999999999936e-05,0.003825773480492826,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.6075
micro_rule,act_gaussian_cdf,"{""L"": 2000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",2000,0.9,0.004680000000000062,0.9833999999999999,2.340000000000031e-06,0.001555527612444423,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.4295
micro_rule,act_gaussian_cdf,"{""L"": 2000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.91, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",2000,0.91,0.010520000000000045,0.9873,5.2600000000000225e-06,0.002322970716333382,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.7282
micro_rule,act_gaussian_cdf,"{""L"": 2000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.92, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",2000,0.92,0.02248000000000011,0.9859,1.1240000000000055e-05,0.003400558801955625,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",1.476
micro_rule,act_gaussian_cdf,"{""L"": 4000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.88, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",4000,0.88,0.02926000000000002,0.9831,7.3150000000000045e-06,0.002751119588302009,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",3.4299
micro_rule,act_gaussian_cdf,"{""L"": 4000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.89, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",4000,0.89,0.04576000000000056,0.9826499999999999,1.144000000000014e-05,0.0034420260571491105,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",3.0823
micro_rule,act_gaussian_cdf,"{""L"": 4000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",4000,0.9,0.028459999999999826,0.98665,7.1149999999999564e-06,0.0027034872889776717,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",3.0537
micro_rule,act_gaussian_cdf,"{""L"": 4000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.91, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",4000,0.91,0.03146000000000044,0.9869,7.86500000000011e-06,0.0028416868299483747,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",3.0286
micro_rule,act_gaussian_cdf,"{""L"": 4000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.92, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",4000,0.92,0.02185999999999972,0.98885,5.46499999999993e-06,0.00236409358902986,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",2.9333
micro_rule,act_gaussian_cdf,"{""L"": 8000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.88, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",8000,0.88,0.08057999999999965,0.9834250000000001,1.0072499999999957e-05,0.003227211240828393,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",7.0778
micro_rule,act_gaussian_cdf,"{""L"": 8000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.89, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",8000,0.89,0.03110000000000012,0.9856250000000001,3.887500000000015e-06,0.0020004306052637047,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",6.4824
micro_rule,act_gaussian_cdf,"{""L"": 8000, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""act_gaussian_cdf""}",8000,0.9,0.015880000000000536,0.9874499999999999,1.985000000000067e-06,0.0014268067045020618,chain,{},5,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",6.4381
