experiment,variant,job_key,L,stress,chi,phi_mean,phi_var,cv,topology,topo_params,n_runs,engine_config,elapsed_sec
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.8, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.8,0.07263749999999976,0.93925,0.0003631874999999988,0.020290102578545535,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5972
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.82, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.82,0.10279999999999972,0.9460000000000001,0.0005139999999999986,0.02396571680497805,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5513
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.84, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.84,0.04229999999999991,0.9509999999999998,0.00021149999999999953,0.015292365480808595,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5594
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.86, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.86,0.05423749999999998,0.9572499999999999,0.0002711874999999999,0.01720320872851862,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5542
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.88, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.88,0.04173750000000007,0.9672499999999997,0.00020868750000000038,0.014935146252978738,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.4953
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.9, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.9,0.0526375000000001,0.9707500000000001,0.0002631875000000005,0.016711876984710418,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5103
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.92, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.92,0.029800000000000045,0.9789999999999999,0.00014900000000000023,0.012468391844467533,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.4407
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.94, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.94,0.028500000000000046,0.9800000000000001,0.00014250000000000024,0.012180955496238093,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.6463
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.96, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.96,0.015050000000000025,0.9864999999999998,7.525000000000012e-05,0.008793386504256203,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.5921
micro_rule,baseline,"{""L"": 200, ""engine_config"": {""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}, ""experiment"": ""micro_rule"", ""stress"": 0.98, ""topology"": ""chain"", ""topology_params"": {}, ""variant"": ""baseline""}",200,0.98,0.014237500000000024,0.9897499999999999,7.118750000000012e-05,0.008524646138260279,chain,{},20,"{""activation"": ""gaussian_cdf"", ""memory"": ""exponential"", ""noise"": ""gaussian""}",0.4209
