stress,L,phi,collapse_prob,tau,n_seeds,chi,phi_var,cv,variant,experiment,topology,source,x_scaled,y_scaled
0.8,200,0.93925,0.0726374999999997,,20,0.0726374999999997,0.0003631874999999,0.0202901025785455,baseline,micro_rule,chain,grid,0.0,65.10362939334715
0.82,200,0.946,0.1027999999999997,,20,0.1027999999999997,0.0005139999999999,0.023965716804978,baseline,micro_rule,chain,grid,3.9999999999999813,65.57150216247686
0.84,200,0.9509999999999998,0.0422999999999999,,20,0.0422999999999999,0.0002114999999999,0.0152923654808085,baseline,micro_rule,chain,grid,7.999999999999985,65.91807458405444
0.86,200,0.95725,0.0542374999999999,,20,0.0542374999999999,0.0002711874999999,0.0172032087285186,baseline,micro_rule,chain,grid,11.99999999999999,66.35129011102642
0.88,200,0.9672499999999996,0.0417375,,20,0.0417375,0.0002086875,0.0149351462529787,baseline,micro_rule,chain,grid,15.999999999999993,67.04443495418153
0.9,200,0.97075,0.0526375000000001,,20,0.0526375000000001,0.0002631875,0.0167118769847104,baseline,micro_rule,chain,grid,19.999999999999996,67.28703564928585
0.92,200,0.979,0.0298,,20,0.0298,0.000149,0.0124683918444675,baseline,micro_rule,chain,grid,24.0,67.85888014488886
0.94,200,0.98,0.0285,,20,0.0285,0.0001425,0.012180955496238,baseline,micro_rule,chain,grid,27.99999999999998,67.92819462920437
0.96,200,0.9864999999999998,0.01505,,20,0.01505,7.525000000000012e-05,0.0087933865042562,baseline,micro_rule,chain,grid,31.999999999999986,68.37873877725521
0.98,200,0.98975,0.0142375,,20,0.0142375,7.118750000000012e-05,0.0085246461382602,baseline,micro_rule,chain,grid,35.999999999999986,68.60401085128063
1.0,200,0.98875,0.0284375,,20,0.0284375,0.0001421875,0.0120599140507831,baseline,micro_rule,chain,grid,39.99999999999999,68.53469636696512
1.02,200,0.99175,0.0136375,,20,0.0136375,6.818750000000013e-05,0.0083262639601279,baseline,micro_rule,chain,grid,43.99999999999999,68.74263981991167
1.04,200,0.995,0.0115,,20,0.0115,5.750000000000011e-05,0.0076209803457804,baseline,micro_rule,chain,grid,48.0,68.96791189393709
